"user","第1名","第2名","第3名","第4名","第5名"
"1-dj","Gemini","GPT-5","Claude Sonnet","Kimi","DeepSeek"
"111222333xxxx","GPT-4o","DeepSeek","Kimi","Gemini","Claude Sonnet"
"1122333666jjj","GPT-5","Gemini","Kimi","DeepSeek","Claude Sonnet"
"159368qwe","GPT-5","DeepSeek","Gemini","Kimi","GLM"
"1613208672lilei-dotcom","GPT-5","Gemini","DeepSeek","Kimi","Claude Sonnet"
"1712203708-a11y","Gemini","Gemini","GPT-5","DeepSeek","Kimi"
"18135600866","Gemini","GPT-4o","DeepSeek","Claude Sonnet","Kimi"
"19839671980","DeepSeek","GPT-5","GPT-5","GPT-4o","Claude Sonnet"
"2025303110006","GPT-4o","Gemini","DeepSeek","Kimi","Claude Sonnet"
"2025WL","Gemini","GPT-5","DeepSeek","Kimi","Claude Sonnet"
"20260305",NA,"Gemini","Kimi","DeepSeek",NA
"20WPL","Qwen","Gemini","DeepSeek","GPT-5","Claude Opus"
"30-niu","Gemini","GPT-4o","Kimi","DeepSeek",NA
"31omp",NA,"Gemini","GPT-5","Claude Opus","DeepSeek"
"619890876-lgtm","Gemini","GPT-5","DeepSeek","Kimi","Qwen"
"6622339","DeepSeek","Kimi","Gemini","Claude Sonnet","GPT-4o"
"AO-wj","Gemini","Kimi","DeepSeek","GPT-4o","Claude Sonnet"
"APFSDS-HE",NA,NA,"Gemini","Claude Sonnet","GPT-5"
"ARSEN-4321","Gemini","GPT-5","DeepSeek","Kimi","Claude Sonnet"
"Abudula-Aizezi","Claude Sonnet","Gemini","DeepSeek","Qwen",NA
"Ahatm","Gemini","GPT-4o","Kimi","DeepSeek",NA
"Andy-95277259","Gemini","GPT-4o","Claude Sonnet","Kimi","DeepSeek"
"BILLDOU","Gemini","GPT-4o","Claude Sonnet","DeepSeek","Kimi"
"BINGWANYANG","GPT-5","GLM","GPT-4o","GPT-5","GPT-5"
"Ban-bit","GPT-5","Gemini","DeepSeek","Kimi","Claude 3"
"Bao-cell","Gemini","GPT-4o","Kimi","Claude Sonnet","DeepSeek"
"Bijiayu-yyds","GPT-5","Claude Sonnet","DeepSeek","Qwen","Kimi"
"Britney-128","Gemini","DeepSeek",NA,"Kimi","GPT-5"
"CANGSU-mei","GPT-4o","Claude Sonnet","DeepSeek","Gemini","Kimi"
"CXWYWG","Gemini","GPT-4o","Kimi","Grok","DeepSeek"
"CYY386","Claude 3","GPT-4o","DeepSeek","Qwen","Gemini"
"CarlCampbellus","Qwen","Gemini","Kimi","DeepSeek",NA
"Ccwwjia-032","Gemini","GPT-4o","Claude Sonnet","Kimi","DeepSeek"
"ChenYu-7317","Gemini","DeepSeek","GPT-4o","Kimi","Claude 3"
"ChenZhuo-hz","GPT-5","Claude Sonnet","Gemini","DeepSeek","Kimi"
"Chenht111","Gemini","GPT-4o","Qwen","Claude Sonnet","Kimi"
"CishuiMoon","GPT-4o","Gemini","DeepSeek","Kimi","Claude Sonnet"
"Cuiys123","Gemini","Kimi",NA,"GPT-4o","DeepSeek"
